product_ndc,generic_name,brand_name,manufacturer_name,dosage_form,route
67046-0295,Sulfamethoxazole and Trimethoprim,Sulfamethoxazole and Trimethoprim,Coupler LLC,TABLET,ORAL
67046-1542,Thiothixene,Thiothixene,Coupler LLC,CAPSULE,ORAL
67091-334,"Acetaminophen, Caffeine, Pyrilamine maleate",Menstrual Complete,"WinCo Foods, LLC","TABLET, FILM COATED",ORAL
67225-5316,"Octinoxate, Octocrylene, Titanium Dioxide",AGE20S SIGNATURE ESSENCE PACT INTENSE COVER MINI 29C,"Aekyung Industrial Co., Ltd.",CREAM,TOPICAL
67296-2206,Phenazopyridine Hydrochloride,Phenazopyridine Hydrochloride,Redpharm Drug,TABLET,ORAL
67457-992,Naloxone Hydrochloride,Naloxone Hydrochloride,Mylan Institutional LLC,"INJECTION, SOLUTION","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS"
68462-402,Atovaquone and Proguanil Hydrochloride Pediatric,Atovaquone and Proguanil Hydrochloride Pediatric,"Glenmark Pharmaceuticals Inc.,USA","TABLET, FILM COATED",ORAL
68475-200,Trientine Hydrochloride,Trientine Hydrochloride,Navinta LLC,CAPSULE,ORAL
68577-245,Zinc Oxide,NORWEX Lip Glaze Broad Spectrum SPF 30 Hazelnut,COSMAX USA,GEL,TOPICAL
68703-322,"Calc fluor, Carboneum sulph, Chininum sulph, Mang met, Salicylicum ac",EarStill,Silver Star Brands,LIQUID,ORAL
68071-3778,Ibuprofen,Ibuprofen,"NuCare Pharmaceuticals, Inc.","TABLET, FILM COATED",ORAL
68062-8801,"titanium dioxide, zinc oxide",Tru Skin Rituals SPF 25,Spa de Soleil,SPRAY,TOPICAL
68071-2559,Simvastatin,Simvastatin,"NuCare Pharmaceuticals,Inc.","TABLET, FILM COATED",ORAL
68071-3525,Sumatriptan,Sumatriptan,"NuCare Pharmaceuticals,Inc.","TABLET, FILM COATED",ORAL
0363-0915,Omeprazole,omeprazole,Walgreen Company,"TABLET, DELAYED RELEASE",ORAL
37662-0098,Calcarea Muriatica,Calcarea Muriatica,"Hahnemann Laboratories, INC.",PELLET,ORAL
37662-0336,Citalopram,Citalopram,"Hahnemann Laboratories, INC.",PELLET,ORAL
37662-0567,Coriandrum Sativum (Coriander),Coriandrum Sativum (Coriander),"Hahnemann Laboratories, INC.",PELLET,ORAL
0121-1576,metoclopramide hydrochloride,Metoclopramide,"PAI Holdings, LLC dba PAI Pharma",SOLUTION,ORAL
37662-1027,Magnesia Muriatica,Magnesia Muriatica,"Hahnemann Laboratories, INC.",PELLET,ORAL
37662-1488,Guaiacum,Guaiacum,"Hahnemann Laboratories, INC.",PELLET,ORAL
37662-1718,Iodium,Iodium,"Hahnemann Laboratories, INC.",PELLET,ORAL
37662-1949,Raphanus Sativus,Raphanus Sativus,"Hahnemann Laboratories, INC.",PELLET,ORAL
